slug,nombre,statusActual,qualityTier,manualPriority,sourceProvider,sourceUrl,requiereDominioOArchivoLocal
"elvive","Elvive","approved","weak","media","logodev","https://img.logo.dev/loreal-paris.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"justo","Justo","approved","weak","media","logodev","https://img.logo.dev/justo.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"juan-maestro","Juan Maestro","approved","needs_review","media","html_metadata:link_icon","https://tofuu.getjusto.com/orioneat-prod/88orTfZAbxKc7zucD-favicon%20JM.png","true"
"pedro-juan-diego","Pedro, Juan & Diego","approved","needs_review","media","html_metadata:link_icon","https://www.dominios.cl/images/apple-touch-icon.png","true"
"little-caesars","Little Caesars","approved","weak","media","logodev","https://img.logo.dev/littlecaesars.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"filadd","Filadd","approved","weak","media","html_metadata:link_icon","https://cdn.prod.website-files.com/63727ff21746368de5893d07/65e71a64fa2d50464e50f762_Asset%202.png","true"
"uai","UAI","approved","weak","media","logodev","https://img.logo.dev/uai.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"universidad-de-concepcion","Universidad de Concepción","approved","needs_review","media","html_metadata","https://udec.cl/favicon.ico","true"
"muvix","Muvix","approved","needs_review","media","html_metadata:link_icon","https://muvix.cl/IT-CDN/Themes/_default/Images/favicon/android-icon-192x192.png","true"
"carolina","Carolina","approved","weak","media","logodev","https://img.logo.dev/radiocarolina.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"universal","Universal+","approved","needs_review","media","html_metadata","https://universalplus.com/apple-touch-icon.png","true"
"la-red","La Red","approved","needs_review","media","html_metadata:link_icon","https://www.lared.cl/wp-content/themes/lared2021/img/favicon/apple-touch-icon.png","true"
"mercado-pago","Mercado Pago","approved","needs_review","media","html_metadata:link_icon","https://http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/7.2.2/mercadopago/favicon.svg","true"
"tapp","Tapp","approved","needs_review","media","html_metadata:link_icon","https://cla.cdn.modyo.com/uploads/30174f3a-dcff-4133-bdf3-8219a20febe7/C32x32/tapp-favicon-32.ico","true"
"redcompra","Redcompra","approved","weak","media","logodev","https://img.logo.dev/redcompra.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"dyson","Dyson","approved","weak","media","logodev","https://img.logo.dev/dyson.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"cat-chow","Cat Chow","approved","weak","media","logodev","https://img.logo.dev/purina.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"royal-canin","Royal Canin","approved","needs_review","media","html_metadata:link_icon","https://www.royalcanin.com/favicon.ico","true"
"superzoo","SuperZoo","approved","needs_review","media","html_metadata","https://superzoo.cl/favicon.ico","true"
"saxoline","Saxoline","approved","needs_review","media","html_metadata:link_icon","https://saxoline.cl/favicon.ico","true"
"sparta","Sparta","approved","needs_review","media","html_metadata:link_icon","https://sparta.cl/media/favicon/stores/1/logo_sparta_cuadrado_2_1_.png","true"
"forever-21","Forever 21","approved","needs_review","media","html_metadata:link_icon","https://www.forever21.com/cdn/shop/files/favicon_-_f21.jpg?v=1745868953&width=96","true"
"h-m","H&M","approved","needs_review","media","html_metadata","https://cl.hm.com/favicon.ico","true"
"family-shop","Family Shop","approved","weak","media","html_metadata:link_icon","https://cdnx.jumpseller.com/familyshop/image/61821098/resize/180/180?1743079886","true"
"sybilla","Sybilla","approved","weak","media","html_metadata:link_icon","https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1e527cb20edce8ff/falabella.com@16px.png","true"
"fraccion","Fracción","approved","weak","media","logodev","https://img.logo.dev/farmaciafraccion.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"colmena","Colmena","approved","needs_review","media","html_metadata:link_icon","https://www.colmena.cl/source/wp-content/themes/colmena/assets/favicon/android-icon-192x192.png","true"
