Industria,Categoria,Subcategoria,Marca,Slug,Dominio
Comida y restaurantes,Restaurantes,Fast food,Carl's Jr.,carls-jr,https://www.carlsjr.com
Comida y restaurantes,Restaurantes,Fast food,Johnny Rockets,johnny-rockets,https://www.johnnyrockets.com
Comida y restaurantes,Restaurantes,Hamburgueserías,Fuente Alemana,fuente-alemana,https://www.fuentealemana.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Fuente Mardoqueo,fuente-mardoqueo,https://www.mardoqueo.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Dominó,domino-fuente-de-soda,https://www.domino.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Tip y Tap,tip-y-tap,https://www.tipytap.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Krossbar,krossbar,https://www.krossbar.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Liguria,liguria,https://www.liguria.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Juan y Medio,juan-y-medio,https://www.juanymedio.cl

Comida y restaurantes,Café,Cafeterías,Coffee Culture,coffee-culture,https://www.coffeeculture.cl
Comida y restaurantes,Café,Cafeterías,Blackdrop Coffee,blackdrop-coffee,https://www.blackdropcoffee.cl
Comida y restaurantes,Café,Cafeterías,Work Café Santander,work-cafe-santander,https://www.santander.cl
Comida y restaurantes,Café,Cafeterías,Bonafide,bonafide,https://www.bonafide.cl
Comida y restaurantes,Café,Cafeterías,The Coffee,the-coffee,https://thecoffee.jp
Comida y restaurantes,Café,Cafeterías,Juan Maestro Café,juan-maestro-cafe,https://www.juanmaestro.cl

Comida y restaurantes,Helados,Heladerías,Filippo,filippo-heladerias,https://www.filippo.cl
Comida y restaurantes,Helados,Heladerías,Fragola,fragola,https://www.fragola.cl
Comida y restaurantes,Helados,Heladerías,Il Maestrale,il-maestrale,https://www.ilmaestrale.cl
Comida y restaurantes,Helados,Heladerías,Gelatería La Romana,gelateria-la-romana,https://www.gelateriaromana.com
Comida y restaurantes,Helados,Heladerías,Amorino,amorino,https://www.amorino.com

Retail,Alimentación,Supermercados,Costco,costco,https://www.costco.com
Retail,Alimentación,Supermercados,Aldi,aldi,https://www.aldi.com
Retail,Alimentación,Supermercados,Lidl,lidl,https://www.lidl.com
Retail,Alimentación,Supermercados,Whole Foods,whole-foods,https://www.wholefoodsmarket.com
Retail,Alimentación,Minimarkets,7-Eleven,seven-eleven,https://www.7-eleven.com
Retail,Alimentación,Minimarkets,Circle K,circle-k,https://www.circlek.com

Retail,Grandes tiendas,Marketplaces,Amazon Prime,amazon-prime-marketplace,https://www.amazon.com
Retail,Grandes tiendas,Marketplaces,Temu Chile,temu-chile,https://www.temu.com
Retail,Grandes tiendas,Marketplaces,Shein Chile,shein-chile,https://www.shein.com
Retail,Grandes tiendas,Marketplaces,Facebook Marketplace Chile,facebook-marketplace-chile,https://www.facebook.com
Retail,Grandes tiendas,Marketplaces,TikTok Shop,tiktok-shop,https://www.tiktok.com

Retail,Tecnología,Tiendas de tecnología,Canon Store,canon-store,https://store.canon.cl
Retail,Tecnología,Tiendas de tecnología,Nikon Store,nikon-store,https://www.nikon.cl
Retail,Tecnología,Tiendas de tecnología,Sony Store,sony-store,https://store.sony.cl
Retail,Tecnología,Tiendas de tecnología,GoPro Store,gopro-store,https://gopro.com
Retail,Tecnología,Tiendas de tecnología,DJI Store,dji-store,https://www.dji.com

Hogar,Electrodomésticos,Aspiradoras,Robotina,robotina,https://www.robotina.cl
Hogar,Electrodomésticos,Aspiradoras,iRobot,irobot,https://www.irobot.com
Hogar,Electrodomésticos,Aspiradoras,Ecovacs,ecovacs,https://www.ecovacs.com
Hogar,Electrodomésticos,Aspiradoras,Roborock,roborock,https://www.roborock.com
Hogar,Electrodomésticos,Aspiradoras,Dreame,dreame,https://www.dreametech.com

Hogar,Electrodomésticos,Refrigeradores,Hisense Refrigeradores,hisense-refrigeradores,https://www.hisense.com
Hogar,Electrodomésticos,Refrigeradores,TCL Refrigeradores,tcl-refrigeradores,https://www.tcl.com
Hogar,Electrodomésticos,Refrigeradores,Haier Refrigeradores,haier-refrigeradores,https://www.haier.com
Hogar,Electrodomésticos,Refrigeradores,Mabe Refrigeradores,mabe-refrigeradores,https://www.mabe.cl
Hogar,Electrodomésticos,Refrigeradores,GE Refrigeradores,ge-refrigeradores,https://www.geappliances.com

Hogar,Electrodomésticos,Lavadoras,Haier Lavadoras,haier-lavadoras,https://www.haier.com
Hogar,Electrodomésticos,Lavadoras,Mabe Lavadoras,mabe-lavadoras,https://www.mabe.cl
Hogar,Electrodomésticos,Lavadoras,GE Lavadoras,ge-lavadoras,https://www.geappliances.com
Hogar,Electrodomésticos,Lavadoras,TCL Lavadoras,tcl-lavadoras,https://www.tcl.com
Hogar,Electrodomésticos,Lavadoras,Ursus Trotter Lavadoras,ursus-trotter-lavadoras,https://www.ursustrotter.cl

Bebés,Productos bebé,Pañales,Parents Choice,parents-choice,https://www.walmart.com
Bebés,Productos bebé,Pañales,Huggies,huggies,https://www.huggies.cl
Bebés,Productos bebé,Pañales,Pampers,pampers,https://www.pampers.cl

Bebés,Productos bebé,Toallitas húmedas,Pampers,pampers,https://www.pampers.cl
Bebés,Productos bebé,Toallitas húmedas,Huggies,huggies,https://www.huggies.cl
Bebés,Productos bebé,Toallitas húmedas,Johnson's,johnsons,https://www.johnsonsbaby.com
Bebés,Productos bebé,Toallitas húmedas,WaterWipes,waterwipes,https://www.waterwipes.com

Bebés,Alimentación bebé,Fórmulas infantiles,Pedialyte,pedialyte,https://www.pedialyte.com
Bebés,Alimentación bebé,Fórmulas infantiles,Gerber,gerber,https://www.gerber.com
Bebés,Alimentación bebé,Fórmulas infantiles,Nestlé NAN,nestle-nan,https://www.nestle.cl
Bebés,Alimentación bebé,Fórmulas infantiles,Similac,similac,https://www.similac.com

Telecomunicaciones,Telefonía,Telefonía móvil,VTR Móvil,vtr-movil,https://www.vtr.com
Telecomunicaciones,Telefonía,Telefonía móvil,Claro Empresas,claro-empresas,https://www.clarochile.cl
Telecomunicaciones,Telefonía,Telefonía móvil,Movistar Empresas,movistar-empresas,https://www.movistar.cl
Telecomunicaciones,Telefonía,Telefonía móvil,Entel Empresas,entel-empresas,https://www.entel.cl

Entretenimiento,Streaming,Streaming de video,Peacock,peacock,https://www.peacocktv.com
Entretenimiento,Streaming,Streaming de video,Discovery+,discovery-plus,https://www.discoveryplus.com
Entretenimiento,Streaming,Streaming de video,Shudder,shudder,https://www.shudder.com
Entretenimiento,Streaming,Streaming de video,Viki,viki,https://www.viki.com
Entretenimiento,Streaming,Streaming de música,KKBOX,kkbox,https://www.kkbox.com
Entretenimiento,Streaming,Streaming de música,Napster,napster,https://www.napster.com

Viajes y transporte,Turismo,Plataformas de reservas,Agoda,agoda,https://www.agoda.com
Viajes y transporte,Turismo,Plataformas de reservas,Trip.com,trip-com,https://www.trip.com
Viajes y transporte,Turismo,Plataformas de reservas,Priceline,priceline,https://www.priceline.com
Viajes y transporte,Turismo,Hoteles,DoubleTree,doubletree,https://www.hilton.com
Viajes y transporte,Turismo,Hoteles,Hampton by Hilton,hampton-by-hilton,https://www.hilton.com
Viajes y transporte,Turismo,Hoteles,Radisson,radisson,https://www.radissonhotels.com

Finanzas,Inversiones,Plataformas de inversión,XTB,xtb,https://www.xtb.com
Finanzas,Inversiones,Plataformas de inversión,Plus500,plus500,https://www.plus500.com
Finanzas,Inversiones,Plataformas de inversión,Saxo Bank,saxo-bank,https://www.home.saxo
Finanzas,Inversiones,Plataformas de inversión,Trade Republic,trade-republic,https://traderepublic.com
Finanzas,Inversiones,Plataformas de inversión,Degiro,degiro,https://www.degiro.com

Salud,Medicamentos,Farmacias,Farmex,farmex,https://www.farmex.cl
Salud,Medicamentos,Farmacias,Farmatotal,farmatotal,https://www.farmatotal.cl
Salud,Seguros,Seguros de salud,Chubb,chubb-salud,https://www.chubb.com
Salud,Seguros,Seguros de salud,Bupa Seguros,bupa-seguros,https://www.bupa.cl
Salud,Atención médica,Centros médicos,Vida Integra Plus,vida-integra-plus,https://www.vidaintegra.cl
Salud,Atención médica,Clínicas privadas,Clínica RedSalud Providencia,clinica-redsalud-providencia,https://www.redsalud.cl
