Marca,Slug,Categoria,Subcategoria,Dominio Web (LLENAR AQUI),Tiene Logo?
Primark,primark,Moda,Fast fashion,https://www.primark.com,NO
Gap,gap,Moda,Fast fashion,https://www.gap.com,NO
Old Navy,old-navy,Moda,Fast fashion,https://oldnavy.gap.com,NO
Banana Republic,banana-republic,Moda,Fast fashion,https://bananarepublic.gap.com,NO
American Eagle,american-eagle,Moda,Fast fashion,https://www.ae.com,NO
Hollister,hollister,Moda,Fast fashion,https://www.hollisterco.com,NO
Abercrombie & Fitch,abercrombie-fitch,Moda,Fast fashion,https://www.abercrombie.com,NO
Urban Outfitters,urban-outfitters,Moda,Fast fashion,https://www.urbanoutfitters.com,NO
Pull&Bear Kids,pull-bear-kids,Moda,Fast fashion,https://www.pullandbear.com,NO
Weekday,weekday,Moda,Fast fashion,https://www.weekday.com,NO
Monki,monki,Moda,Fast fashion,https://www.monki.com,NO
Arket,arket,Moda,Fast fashion,https://www.arket.com,NO
Boohoo,boohoo,Moda,Fast fashion,https://www.boohoo.com,NO
PrettyLittleThing,prettylittlething,Moda,Fast fashion,https://www.prettylittlething.com,NO
Shein,shein,Moda,Fast fashion,https://www.shein.com,NO
Romwe,romwe,Moda,Fast fashion,https://www.romwe.com,NO
Fashion Nova,fashion-nova,Moda,Fast fashion,https://www.fashionnova.com,NO
Zaful,zaful,Moda,Fast fashion,https://www.zaful.com,NO
Cotton On,cotton-on,Moda,Fast fashion,https://cottonon.com,NO
Glassons,glassons,Moda,Fast fashion,https://www.glassons.com,NO
Factorie,factorie,Moda,Fast fashion,https://factorie.com,NO
Asics,asics,Moda,Deportivo,https://www.asics.com,NO
Fila,fila,Moda,Deportivo,https://www.fila.com,NO
Champion,champion,Moda,Deportivo,https://www.champion.com,NO
Converse,converse,Moda,Deportivo,https://www.converse.com,NO
Vans,vans,Moda,Deportivo,https://www.vans.com,NO
Umbro,umbro,Moda,Deportivo,https://www.umbro.com,NO
Diadora,diadora,Moda,Deportivo,https://www.diadora.com,NO
Kappa,kappa,Moda,Deportivo,https://www.kappa.com,NO
Lotto,lotto,Moda,Deportivo,https://www.lotto.it,NO
Mizuno,mizuno,Moda,Deportivo,https://www.mizuno.com,NO
Salomon,salomon,Moda,Deportivo,https://www.salomon.com,NO
Arc'teryx,arcteryx,Moda,Deportivo,https://arcteryx.com,NO
Patta,patta,Moda,Deportivo,https://www.patta.nl,NO
Gymshark,gymshark,Moda,Deportivo,https://www.gymshark.com,NO
Outdoor Voices,outdoor-voices,Moda,Deportivo,https://www.outdoorvoices.com,NO
Alo Yoga,alo-yoga,Moda,Deportivo,https://www.aloyoga.com,NO
Lululemon,lululemon,Moda,Deportivo,https://www.lululemon.com,NO
On Running,on-running,Moda,Deportivo,https://www.on-running.com,NO
Hoka,hoka,Moda,Deportivo,https://www.hoka.com,NO
Brooks,brooks,Moda,Deportivo,https://www.brooksrunning.com,NO
Saucony,saucony,Moda,Deportivo,https://www.saucony.com,NO
La Sportiva,la-sportiva,Moda,Deportivo,https://www.lasportiva.com,NO
Merrell,merrell,Moda,Deportivo,https://www.merrell.com,NO
Michael Kors,michael-kors,Moda,Accesorios,https://www.michaelkors.com,NO
Coach,coach,Moda,Accesorios,https://www.coach.com,NO
Kate Spade,kate-spade,Moda,Accesorios,https://www.katespade.com,NO
Longchamp,longchamp,Moda,Accesorios,https://www.longchamp.com,NO
Fossil,fossil,Moda,Accesorios,https://www.fossil.com,NO
Guess,guess,Moda,Accesorios,https://www.guess.com,NO
Montblanc,montblanc,Moda,Accesorios,https://www.montblanc.com,NO
Tumi,tumi,Moda,Accesorios,https://www.tumi.com,NO
Samsonite,samsonite,Moda,Accesorios,https://www.samsonite.com,NO
Herschel,herschel,Moda,Accesorios,https://herschel.com,NO
Eastpak,eastpak,Moda,Accesorios,https://www.eastpak.com,NO
Bellroy,bellroy,Moda,Accesorios,https://bellroy.com,NO
Anello,anello,Moda,Accesorios,https://www.anello.jp,NO
Matt & Nat,matt-nat,Moda,Accesorios,https://mattandnat.com,NO
Havaianas,havaianas,Moda,Accesorios,https://www.havaianas.com,NO
Crocs,crocs,Moda,Accesorios,https://www.crocs.com,NO
Casio,casio,Moda,Accesorios,https://www.casio.com,NO
Timex,timex,Moda,Accesorios,https://timex.com,NO
Seiko,seiko,Moda,Accesorios,https://www.seikowatches.com,NO
Citizen,citizen,Moda,Accesorios,https://www.citizenwatch.com,NO
